identifier	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_DET	upos_dist_ADV	upos_dist_VERB	upos_dist_NOUN	upos_dist_PART	upos_dist_NUM	upos_dist_AUX	upos_dist_PROPN	upos_dist_CCONJ	upos_dist_SYM	upos_dist_ADP	upos_dist_ADJ	upos_dist_PRON	upos_dist_INTJ	upos_dist_X	upos_dist_SCONJ	upos_dist_PUNCT	lexical_density	verbs_mood_dist_Imp	verbs_mood_dist_Sub	verbs_mood_dist_Ind	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Sing+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_+3	verbs_num_pers_dist_+2	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+	verbs_num_pers_dist_+	aux_mood_dist_Ind	aux_mood_dist_Imp	aux_mood_dist_Sub	aux_tense_dist_Past	aux_tense_dist_Pres	aux_form_dist_Part	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Ger	aux_num_pers_dist_Sing+1	aux_num_pers_dist_+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+3	aux_num_pers_dist_+	aux_num_pers_dist_+3	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Plur+	aux_num_pers_dist_Sing+	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_amod	dep_dist_nmod:poss	dep_dist_nummod	dep_dist_csubj	dep_dist_obl:tmod	dep_dist_nmod	dep_dist_xcomp	dep_dist_advmod	dep_dist_obj	dep_dist_root	dep_dist_nmod:npmod	dep_dist_aux	dep_dist_compound:prt	dep_dist_csubj:pass	dep_dist_iobj	dep_dist_det:predet	dep_dist_obl	dep_dist_det	dep_dist_vocative	dep_dist_aux:pass	dep_dist_expl	dep_dist_compound	dep_dist_flat:foreign	dep_dist_advcl	dep_dist_cop	dep_dist_cc:preconj	dep_dist_case	dep_dist_orphan	dep_dist_nmod:tmod	dep_dist_cc	dep_dist_parataxis	dep_dist_acl:relcl	dep_dist_mark	dep_dist_dep	dep_dist_obl:npmod	dep_dist_reparandum	dep_dist_nsubj:pass	dep_dist_conj	dep_dist_list	dep_dist_discourse	dep_dist_appos	dep_dist_ccomp	dep_dist_dislocated	dep_dist_acl	dep_dist_nsubj	dep_dist_punct	dep_dist_flat	dep_dist_goeswith	dep_dist_fixed	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prep_dist_3	prep_dist_4	prep_dist_5	prep_dist_2	prep_dist_1	subordinate_dist_1	subordinate_dist_3	subordinate_dist_2	subordinate_dist_5	subordinate_dist_4	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_1	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_2	verb_edges_dist_0	verb_edges_dist_6	verb_edges_dist_5	avg_verb_edges
GUM_academic_exposure-1	1	1	1.0	12.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUM_academic_exposure-2	1	32	32.0	5.96	6.25	0	6.25	28.125	0	6.25	3.125	0	3.125	0	12.5	12.5	0	0	0	0	21.875	0.6	0	0	0	0	100.0	0	50.0	0	50.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	16.0	3.0	16	16.0	6.0	12.5	0	0	0	0	12.5	0	0	6.25	3.125	0	3.125	0	0	0	0	0	6.25	0	0	0	3.125	0	0	0	0	12.5	0	0	3.125	0	0	0	3.125	0	0	0	3.125	0	0	3.125	0	0	3.125	3.125	21.875	0	0	0	100.0	0	0	100.0	4	1.0	0	0	0	0	100.0	100.0	0	0	0	0	1.0	50.0	50.0	0	100.0	50.0	50.0	0	0	0	0	0	2.0
GUM_academic_exposure-3	1	35	35.0	5.7407407407407405	2.857142857142857	2.857142857142857	8.571428571428571	25.714285714285715	0	5.714285714285714	2.857142857142857	0	2.857142857142857	0	11.428571428571429	8.571428571428571	0	0	0	5.714285714285714	22.857142857142858	0.5925925925925926	0	0	100.0	100.0	0	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	3.0	100.0	11.666666666666666	3.8076923076923075	23	23.0	5.0	8.571428571428571	0	0	0	0	5.714285714285714	0	2.857142857142857	5.714285714285714	2.857142857142857	0	2.857142857142857	0	0	0	0	5.714285714285714	2.857142857142857	0	0	0	2.857142857142857	0	0	0	0	11.428571428571429	0	0	2.857142857142857	0	0	5.714285714285714	2.857142857142857	0	0	0	2.857142857142857	0	0	0	2.857142857142857	0	2.857142857142857	5.714285714285714	22.857142857142858	0	0	0	100.0	0	0	100.0	2	1.0	0	0	0	0	100.0	100.0	0	0	0	0	1.0	33.333333333333336	66.66666666666667	0	100.0	0	0	33.333333333333336	33.333333333333336	0	0	33.333333333333336	3.6666666666666665
GUM_academic_exposure-4	1	13	13.0	5.0	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	15.384615384615385	0	15.384615384615385	0	0	0	0	23.076923076923077	7.6923076923076925	0	0	0	15.384615384615385	0.5454545454545454	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	50.0	50.0	0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	6.5	2.3	5	5.0	3.0	15.384615384615385	0	0	7.6923076923076925	0	0	0	15.384615384615385	7.6923076923076925	7.6923076923076925	0	7.6923076923076925	0	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	0	0	0	0	0	0	0	0	0	15.384615384615385	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	0	0	0	0	1.0	50.0	50.0	0	100.0	0	0	0	100.0	0	0	0	2.0
GUM_academic_exposure-5	1	23	23.0	4.5	8.695652173913043	13.043478260869565	4.3478260869565215	17.391304347826086	4.3478260869565215	0	4.3478260869565215	0	4.3478260869565215	0	13.043478260869565	8.695652173913043	8.695652173913043	0	0	0	13.043478260869565	0.5	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	11.5	2.3157894736842106	8	8.0	5.0	4.3478260869565215	0	0	4.3478260869565215	0	8.695652173913043	0	13.043478260869565	4.3478260869565215	4.3478260869565215	0	0	0	0	0	0	4.3478260869565215	8.695652173913043	0	0	4.3478260869565215	0	0	0	4.3478260869565215	0	13.043478260869565	0	0	4.3478260869565215	0	0	4.3478260869565215	0	0	0	0	4.3478260869565215	0	0	0	0	0	0	0	13.043478260869565	0	0	0	0	100.0	0	100.0	2	1.0	0	0	0	0	100.0	100.0	0	0	0	0	1.0	50.0	50.0	0	100.0	0	0	0	100.0	0	0	0	2.0
GUM_academic_exposure-6	1	32	32.0	4.48	3.125	3.125	3.125	25.0	3.125	3.125	9.375	0	6.25	0	9.375	9.375	3.125	0	0	0	21.875	0.52	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	66.66666666666667	33.333333333333336	0	0	0	0	0	100.0	0	0	0	0	3.0	100.0	10.666666666666666	4.166666666666667	19	19.0	5.0	6.25	0	0	0	0	6.25	0	6.25	3.125	3.125	0	3.125	0	0	0	0	3.125	3.125	0	0	0	3.125	0	0	6.25	0	9.375	0	0	6.25	0	0	0	3.125	0	0	0	6.25	0	0	3.125	0	0	3.125	3.125	21.875	0	0	0	100.0	0	0	100.0	2	1.0	0	0	0	0	100.0	100.0	0	0	0	0	1.0	50.0	50.0	100.0	0	100.0	0	0	0	0	0	0	1.0
GUM_academic_exposure-7	1	49	49.0	4.5	8.16326530612245	6.122448979591836	12.244897959183673	14.285714285714286	0	8.16326530612245	6.122448979591836	0	6.122448979591836	0	6.122448979591836	6.122448979591836	4.081632653061225	0	0	4.081632653061225	18.367346938775512	0.475	0	0	100.0	75.0	25.0	0	16.666666666666668	50.0	33.333333333333336	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	66.66666666666667	33.333333333333336	0	0	0	0	50.0	50.0	0	0	0	0	7.0	100.0	7.0	3.358974358974359	22	22.0	7.0	4.081632653061225	0	0	0	0	2.0408163265306123	2.0408163265306123	6.122448979591836	4.081632653061225	2.0408163265306123	0	2.0408163265306123	0	0	0	2.0408163265306123	6.122448979591836	8.16326530612245	0	2.0408163265306123	0	2.0408163265306123	0	0	2.0408163265306123	0	8.16326530612245	0	0	6.122448979591836	0	2.0408163265306123	2.0408163265306123	4.081632653061225	0	0	2.0408163265306123	8.16326530612245	0	0	0	0	0	0	4.081632653061225	18.367346938775512	0	0	0	100.0	0	0	100.0	1	1.0	0	0	0	0	100.0	100.0	0	0	0	0	1.0	25.0	75.0	0	100.0	16.666666666666668	50.0	0	0	16.666666666666668	16.666666666666668	0	2.6666666666666665
GUM_academic_exposure-8	1	77	77.0	4.723076923076923	10.38961038961039	5.194805194805195	7.792207792207792	18.181818181818183	0	1.2987012987012987	2.5974025974025974	0	7.792207792207792	2.5974025974025974	9.090909090909092	10.38961038961039	6.4935064935064934	0	0	2.5974025974025974	15.584415584415584	0.49230769230769234	0	0	100.0	75.0	25.0	33.333333333333336	16.666666666666668	50.0	0	0	66.66666666666667	0	0	0	0	0	0	0	33.333333333333336	0	0	0	0	0	0	50.0	50.0	0	0	0	0	0	100.0	0	0	0	0	6.0	100.0	12.833333333333334	4.8125	42	42.0	7.0	10.38961038961039	0	0	0	0	6.4935064935064934	0	5.194805194805195	3.896103896103896	1.2987012987012987	0	1.2987012987012987	0	0	0	1.2987012987012987	2.5974025974025974	10.38961038961039	0	1.2987012987012987	0	1.2987012987012987	0	0	0	0	9.090909090909092	0	0	7.792207792207792	2.5974025974025974	0	2.5974025974025974	1.2987012987012987	1.2987012987012987	0	1.2987012987012987	9.090909090909092	0	0	0	0	0	0	2.5974025974025974	15.584415584415584	0	0	1.2987012987012987	100.0	0	0	100.0	3	1.6666666666666667	0	0	0	66.66666666666667	33.333333333333336	100.0	0	0	0	0	1.0	50.0	50.0	0	100.0	0	0	20.0	40.0	20.0	0	20.0	2.1666666666666665
GUM_academic_exposure-9	1	28	28.0	5.56	10.714285714285714	3.5714285714285716	7.142857142857143	21.428571428571427	0	0	3.5714285714285716	0	3.5714285714285716	0	17.857142857142858	14.285714285714286	3.5714285714285716	0	0	3.5714285714285716	10.714285714285714	0.52	0	0	100.0	100.0	0	50.0	0	50.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	2.0	100.0	14.0	3.0	17	17.0	5.0	7.142857142857143	0	0	0	0	10.714285714285714	0	3.5714285714285716	0	3.5714285714285716	0	3.5714285714285716	0	0	0	0	7.142857142857143	10.714285714285714	0	0	0	3.5714285714285716	0	0	0	0	17.857142857142858	0	0	3.5714285714285716	0	0	3.5714285714285716	0	0	0	0	3.5714285714285716	0	0	0	3.5714285714285716	0	0	7.142857142857143	10.714285714285714	0	0	0	100.0	0	0	0	2	1.5	0	0	0	50.0	50.0	100.0	0	0	0	0	1.0	50.0	50.0	0	100.0	0	50.0	50.0	0	0	0	0	3.5
GUM_academic_exposure-10	1	2	2.0	8.0	0	0	0	50.0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1	1.0	1.0	50.0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
